row_no,block_no,plot_number,species_name,species_id,girth_cm,height_m,tree_class,basal_area_sqm,stem_volume_cubic_m,r_factor,branch_volume_cubic_m,total_volume_cubic_m,r_less_than_10,volume_less_than_10_cubic_m,gross_volume_cubic_m,net_volume_cubic_m,fuelwood_volume_cubic_m
1,1,1,साल,2,47.9,19,ii,0.18,1.58,0.35,0.55,2.13,0.01,0.02,1.56,0.94,1.19
2,1,1,साल,2,56.9,18,i,0.25,2.09,0.15,0.31,2.41,0.01,0.02,2.08,1.66,0.74
3,1,1,साल,2,65.9,20,i,0.34,3.02,0.05,0.14,3.17,0.01,0.02,3.01,2.40,0.76
4,1,1,साल,2,58.7,19,i,0.27,2.32,0.13,0.30,2.62,0.01,0.02,2.31,1.85,0.78
5,1,1,साल,2,83.8,22,i,0.55,5.18,0.00,0.00,5.18,0.00,0.02,5.16,4.13,1.05
6,1,4,खयर,8,92.2,19,i,0.67,4.65,0.00,0.00,4.65,0.00,0.02,4.64,3.71,0.95
7,1,4,असना,3,50.9,14,ii,0.20,1.25,0.58,0.73,1.98,0.02,0.02,1.23,0.74,1.24
8,1,5,साल,2,62.9,17,i,0.31,2.42,0.08,0.20,2.61,0.01,0.02,2.40,1.92,0.69
9,1,5,साल,2,43.1,18,ii,0.15,1.24,0.31,0.38,1.61,0.01,0.02,1.22,0.73,0.88
10,1,5,साल,2,55.1,20,i,0.24,2.15,0.17,0.36,2.52,0.01,0.02,2.13,1.71,0.81
11,1,5,साल,2,65.0,17,i,0.33,2.57,0.06,0.15,2.72,0.01,0.02,2.56,2.05,0.67
12,1,2,साल,2,36.2,14,iii,0.10,0.72,0.30,0.22,0.94,0.02,0.02,0.70,0.21,0.73
13,1,2,साल,2,65.9,20,i,0.34,3.02,0.00,0.14,3.17,0.01,0.02,3.01,2.40,0.76
14,1,2,साल,2,56.6,18,i,0.25,2.07,0.20,0.32,2.39,0.01,0.02,2.06,1.65,0.74
15,1,2,साल,2,63.5,20,i,0.32,2.82,0.10,0.21,3.03,0.01,0.02,2.80,2.24,0.79
16,1,6,साल,2,32.9,17,ii,0.09,0.71,0.30,0.19,0.90,0.03,0.02,0.68,0.41,0.49
17,1,6,साल,2,68.0,10,iii,0.36,1.80,0.00,0.04,1.84,0.01,0.01,1.79,0.54,1.30
18,1,6,साल,2,67.5,21,i,0.36,3.30,0.00,0.09,3.39,0.01,0.02,3.28,2.63,0.77
19,1,10,साल,2,58.7,19,i,0.27,2.32,0.10,0.30,2.62,0.01,0.02,2.31,1.85,0.78
20,1,10,साल,2,83.8,22,i,0.55,5.18,0.00,0.00,5.18,0.00,0.02,5.16,4.13,1.05
21,1,15,साल,2,92.2,19,i,0.67,5.49,0.00,0.00,5.49,0.00,0.01,5.48,4.38,1.11
22,1,15,अन्य,,35.9,14,iii,0.10,0.67,0.50,0.34,1.01,0.03,0.02,0.65,0.19,0.81
23,1,19,साल,2,104.8,18,i,0.86,6.70,0.00,0.00,6.70,0.00,0.01,6.69,5.35,1.35
24,1,18,साल,2,58.7,18,i,0.27,2.22,0.10,0.29,2.51,0.01,0.02,2.21,1.76,0.74
25,1,18,साल,2,68.0,10,iii,0.36,1.80,0.00,0.04,1.84,0.01,0.01,1.79,0.54,1.30
26,1,18,साल,2,67.5,21,i,0.36,3.30,0.00,0.09,3.39,0.01,0.02,3.28,2.63,0.77
27,1,14,साल,2,74.3,23,i,0.43,4.27,0.00,0.00,4.27,0.00,0.02,4.25,3.40,0.87
28,1,14,साल,2,65.3,19,i,0.33,2.85,0.10,0.15,3.00,0.01,0.02,2.83,2.26,0.74
29,1,22,अन्य,,37.4,12,iii,0.11,0.62,0.50,0.31,0.94,0.03,0.02,0.61,0.18,0.76
30,1,22,अन्य,,57.5,17,i,0.26,1.87,0.20,0.40,2.26,0.01,0.02,1.85,1.48,0.79
31,1,27,अन्य,,77.8,17,ii,0.48,3.20,0.00,0.00,3.20,0.01,0.02,3.19,1.91,1.29
